costs,locs,techs,timesteps,cost_export
monetary,X1,chp,2005-07-01 00:00:00,-0.031732
monetary,X1,chp,2005-07-01 01:00:00,-0.029376
monetary,X1,chp,2005-07-01 02:00:00,-0.028932
monetary,X1,chp,2005-07-01 03:00:00,-0.026064
monetary,X1,chp,2005-07-01 04:00:00,-0.020632
monetary,X1,chp,2005-07-01 05:00:00,-0.027568
monetary,X1,chp,2005-07-01 06:00:00,-0.0297
monetary,X1,chp,2005-07-01 07:00:00,-0.034012
monetary,X1,chp,2005-07-01 08:00:00,-0.03788
monetary,X1,chp,2005-07-01 09:00:00,-0.046136
monetary,X1,chp,2005-07-01 10:00:00,-0.044776
monetary,X1,chp,2005-07-01 11:00:00,-0.040216
monetary,X1,chp,2005-07-01 12:00:00,-0.039736
monetary,X1,chp,2005-07-01 13:00:00,-0.038808
monetary,X1,chp,2005-07-01 14:00:00,-0.03858
monetary,X1,chp,2005-07-01 15:00:00,-0.040184
monetary,X1,chp,2005-07-01 16:00:00,-0.044744
monetary,X1,chp,2005-07-01 17:00:00,-0.047236
monetary,X1,chp,2005-07-01 18:00:00,-0.046928
monetary,X1,chp,2005-07-01 19:00:00,-0.042796
monetary,X1,chp,2005-07-01 20:00:00,-0.04064
monetary,X1,chp,2005-07-01 21:00:00,-0.038516
monetary,X1,chp,2005-07-01 22:00:00,-0.037368
monetary,X1,chp,2005-07-01 23:00:00,-0.033428
monetary,X1,chp,2005-07-02 00:00:00,-0.028376
monetary,X1,chp,2005-07-02 01:00:00,-0.02732
monetary,X1,chp,2005-07-02 02:00:00,-0.026892000000000003
monetary,X1,chp,2005-07-02 03:00:00,-0.026952
monetary,X1,chp,2005-07-02 04:00:00,-0.024864
monetary,X1,chp,2005-07-02 05:00:00,-0.025472
monetary,X1,chp,2005-07-02 06:00:00,-0.030384
monetary,X1,chp,2005-07-02 07:00:00,-0.035795999999999994
monetary,X1,chp,2005-07-02 08:00:00,-0.035084
monetary,X1,chp,2005-07-02 09:00:00,-0.035056
monetary,X1,chp,2005-07-02 10:00:00,-0.035952
monetary,X1,chp,2005-07-02 11:00:00,-0.041952
monetary,X1,chp,2005-07-02 12:00:00,-0.04564
monetary,X1,chp,2005-07-02 13:00:00,-0.04012
monetary,X1,chp,2005-07-02 14:00:00,-0.042476
monetary,X1,chp,2005-07-02 15:00:00,-0.043784
monetary,X1,chp,2005-07-02 16:00:00,-0.046456
monetary,X1,chp,2005-07-02 17:00:00,-0.045732
monetary,X1,chp,2005-07-02 18:00:00,-0.042956
monetary,X1,chp,2005-07-02 19:00:00,-0.03978
monetary,X1,chp,2005-07-02 20:00:00,-0.03628
monetary,X1,chp,2005-07-02 21:00:00,-0.03558
monetary,X1,chp,2005-07-02 22:00:00,-0.035088
monetary,X1,chp,2005-07-02 23:00:00,-0.033512
monetary,X2,pv,2005-07-01 00:00:00,-0.0491
monetary,X2,pv,2005-07-01 01:00:00,-0.0491
monetary,X2,pv,2005-07-01 02:00:00,-0.0491
monetary,X2,pv,2005-07-01 03:00:00,-0.0491
monetary,X2,pv,2005-07-01 04:00:00,-0.0491
monetary,X2,pv,2005-07-01 05:00:00,-0.0491
monetary,X2,pv,2005-07-01 06:00:00,-0.0491
monetary,X2,pv,2005-07-01 07:00:00,-0.0491
monetary,X2,pv,2005-07-01 08:00:00,-0.0491
monetary,X2,pv,2005-07-01 09:00:00,-0.0491
monetary,X2,pv,2005-07-01 10:00:00,-0.0491
monetary,X2,pv,2005-07-01 11:00:00,-0.0491
monetary,X2,pv,2005-07-01 12:00:00,-0.0491
monetary,X2,pv,2005-07-01 13:00:00,-0.0491
monetary,X2,pv,2005-07-01 14:00:00,-0.0491
