carriers,locs,techs,timesteps,capacity_factor
electricity,X1,chp,2005-07-01 00:00:00,0.4448291581501424
electricity,X1,chp,2005-07-01 01:00:00,0.37587320105263233
electricity,X1,chp,2005-07-01 02:00:00,0.3778396454898958
electricity,X1,chp,2005-07-01 03:00:00,0.3778423312721076
electricity,X1,chp,2005-07-01 04:00:00,0.39857108074406566
electricity,X1,chp,2005-07-01 05:00:00,0.6920049075140935
electricity,X1,chp,2005-07-01 06:00:00,0.8479799148459671
electricity,X1,chp,2005-07-01 07:00:00,1.0
electricity,X1,chp,2005-07-01 08:00:00,1.0
electricity,X1,chp,2005-07-01 09:00:00,1.0
electricity,X1,chp,2005-07-01 10:00:00,0.8417476886410329
electricity,X1,chp,2005-07-01 11:00:00,0.8384002509254208
electricity,X1,chp,2005-07-01 12:00:00,0.8035884760301432
electricity,X1,chp,2005-07-01 13:00:00,0.7096576221636371
electricity,X1,chp,2005-07-01 14:00:00,0.7551018710242674
electricity,X1,chp,2005-07-01 15:00:00,0.8769736393476477
electricity,X1,chp,2005-07-01 16:00:00,0.7518736711412451
electricity,X1,chp,2005-07-01 17:00:00,1.0
electricity,X1,chp,2005-07-01 18:00:00,1.0
electricity,X1,chp,2005-07-01 19:00:00,1.0
electricity,X1,chp,2005-07-01 20:00:00,1.0
electricity,X1,chp,2005-07-01 21:00:00,0.8809750056484716
electricity,X1,chp,2005-07-01 22:00:00,0.605351446410001
electricity,X1,chp,2005-07-01 23:00:00,0.44598284684423134
electricity,X1,chp,2005-07-02 00:00:00,0.4762559775524765
electricity,X1,chp,2005-07-02 01:00:00,0.4108251719887007
electricity,X1,chp,2005-07-02 02:00:00,0.4047341272562779
electricity,X1,chp,2005-07-02 03:00:00,0.4138014883886042
electricity,X1,chp,2005-07-02 04:00:00,0.4305014932170589
electricity,X1,chp,2005-07-02 05:00:00,0.6438786929590667
electricity,X1,chp,2005-07-02 06:00:00,0.8213334525416589
electricity,X1,chp,2005-07-02 07:00:00,0.953318258149555
electricity,X1,chp,2005-07-02 08:00:00,0.916389568826659
electricity,X1,chp,2005-07-02 09:00:00,0.8783025074897668
electricity,X1,chp,2005-07-02 10:00:00,0.8251997955228956
electricity,X1,chp,2005-07-02 11:00:00,0.6733972061639094
electricity,X1,chp,2005-07-02 12:00:00,0.612454921678693
electricity,X1,chp,2005-07-02 13:00:00,0.6103301365810762
electricity,X1,chp,2005-07-02 14:00:00,0.7051288627178974
electricity,X1,chp,2005-07-02 15:00:00,0.8341119480780582
electricity,X1,chp,2005-07-02 16:00:00,0.7437966361024347
electricity,X1,chp,2005-07-02 17:00:00,1.0
electricity,X1,chp,2005-07-02 18:00:00,1.0
electricity,X1,chp,2005-07-02 19:00:00,1.0
electricity,X1,chp,2005-07-02 20:00:00,1.0
electricity,X1,chp,2005-07-02 21:00:00,0.845122225522721
electricity,X1,chp,2005-07-02 22:00:00,0.6055730500367688
electricity,X1,chp,2005-07-02 23:00:00,0.4811866144133895
electricity,X1,power_lines:X2,2005-07-01 00:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 01:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 02:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 03:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 04:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 05:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 06:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 07:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 08:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 09:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 10:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 11:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 12:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 13:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 14:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 15:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 16:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 17:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 18:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 19:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 20:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 21:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 22:00:00,0.0
electricity,X1,power_lines:X2,2005-07-01 23:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 00:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 01:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 02:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 03:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 04:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 05:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 06:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 07:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 08:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 09:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 10:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 11:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 12:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 13:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 14:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 15:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 16:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 17:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 18:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 19:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 20:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 21:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 22:00:00,0.0
electricity,X1,power_lines:X2,2005-07-02 23:00:00,0.0
