carriers,locs,techs,timesteps,carrier_con
electricity,X1,demand_electricity,2005-07-01 00:00:00,-0.455564001
electricity,X1,demand_electricity,2005-07-01 01:00:00,-0.405798008
electricity,X1,demand_electricity,2005-07-01 02:00:00,-0.393291395
electricity,X1,demand_electricity,2005-07-01 03:00:00,-0.393992241
electricity,X1,demand_electricity,2005-07-01 04:00:00,-0.44008539
electricity,X1,demand_electricity,2005-07-01 05:00:00,-0.56782052
electricity,X1,demand_electricity,2005-07-01 06:00:00,-0.732534533
electricity,X1,demand_electricity,2005-07-01 07:00:00,-0.713803086
electricity,X1,demand_electricity,2005-07-01 08:00:00,-0.689991654
electricity,X1,demand_electricity,2005-07-01 09:00:00,-0.707650084
electricity,X1,demand_electricity,2005-07-01 10:00:00,-0.723601032
electricity,X1,demand_electricity,2005-07-01 11:00:00,-0.704059494
electricity,X1,demand_electricity,2005-07-01 12:00:00,-0.677476247
electricity,X1,demand_electricity,2005-07-01 13:00:00,-0.662892364
electricity,X1,demand_electricity,2005-07-01 14:00:00,-0.683060115
electricity,X1,demand_electricity,2005-07-01 15:00:00,-0.780370371
electricity,X1,demand_electricity,2005-07-01 16:00:00,-0.940634343
electricity,X1,demand_electricity,2005-07-01 17:00:00,-0.97838821
electricity,X1,demand_electricity,2005-07-01 18:00:00,-1.02206286
electricity,X1,demand_electricity,2005-07-01 19:00:00,-1.169518801
electricity,X1,demand_electricity,2005-07-01 20:00:00,-1.30793776
electricity,X1,demand_electricity,2005-07-01 21:00:00,-1.099334371
electricity,X1,demand_electricity,2005-07-01 22:00:00,-0.826212381
electricity,X1,demand_electricity,2005-07-01 23:00:00,-0.559498838
electricity,X1,demand_electricity,2005-07-02 00:00:00,-0.455564001
electricity,X1,demand_electricity,2005-07-02 01:00:00,-0.405798008
electricity,X1,demand_electricity,2005-07-02 02:00:00,-0.393291395
electricity,X1,demand_electricity,2005-07-02 03:00:00,-0.393992241
electricity,X1,demand_electricity,2005-07-02 04:00:00,-0.44008539
electricity,X1,demand_electricity,2005-07-02 05:00:00,-0.56782052
electricity,X1,demand_electricity,2005-07-02 06:00:00,-0.732534533
electricity,X1,demand_electricity,2005-07-02 07:00:00,-0.713803086
electricity,X1,demand_electricity,2005-07-02 08:00:00,-0.689991654
electricity,X1,demand_electricity,2005-07-02 09:00:00,-0.707650084
electricity,X1,demand_electricity,2005-07-02 10:00:00,-0.723601032
electricity,X1,demand_electricity,2005-07-02 11:00:00,-0.704059494
electricity,X1,demand_electricity,2005-07-02 12:00:00,-0.677476247
electricity,X1,demand_electricity,2005-07-02 13:00:00,-0.662892364
electricity,X1,demand_electricity,2005-07-02 14:00:00,-0.683060115
electricity,X1,demand_electricity,2005-07-02 15:00:00,-0.780370371
electricity,X1,demand_electricity,2005-07-02 16:00:00,-0.940634343
electricity,X1,demand_electricity,2005-07-02 17:00:00,-0.97838821
electricity,X1,demand_electricity,2005-07-02 18:00:00,-1.02206286
electricity,X1,demand_electricity,2005-07-02 19:00:00,-1.169518801
electricity,X1,demand_electricity,2005-07-02 20:00:00,-1.30793776
electricity,X1,demand_electricity,2005-07-02 21:00:00,-1.099334371
electricity,X1,demand_electricity,2005-07-02 22:00:00,-0.826212381
electricity,X1,demand_electricity,2005-07-02 23:00:00,-0.559498838
electricity,X1,power_lines:X2,2005-07-01 00:00:00,-96.4753073877551
