carriers,locs,techs,timesteps,carrier_prod
electricity,X1,chp,2005-07-01 00:00:00,116.076700041816
electricity,X1,chp,2005-07-01 01:00:00,98.0828707222857
electricity,X1,chp,2005-07-01 02:00:00,98.5960079052041
electricity,X1,chp,2005-07-01 03:00:00,98.5967087512041
electricity,X1,chp,2005-07-01 04:00:00,104.005807481837
electricity,X1,chp,2005-07-01 05:00:00,180.576395690918
electricity,X1,chp,2005-07-01 06:00:00,221.277558841673
electricity,X1,chp,2005-07-01 07:00:00,260.946698108843
electricity,X1,chp,2005-07-01 08:00:00,260.946698108843
electricity,X1,chp,2005-07-01 09:00:00,260.946698108843
electricity,X1,chp,2005-07-01 10:00:00,219.651279991628
electricity,X1,chp,2005-07-01 11:00:00,218.777777172614
electricity,X1,chp,2005-07-01 12:00:00,209.693759458383
electricity,X1,chp,2005-07-01 13:00:00,185.182813291374
electricity,X1,chp,2005-07-01 14:00:00,197.041339979592
electricity,X1,chp,2005-07-01 15:00:00,228.843375516264
electricity,X1,chp,2005-07-01 16:00:00,196.198951879282
electricity,X1,chp,2005-07-01 17:00:00,260.946698108843
electricity,X1,chp,2005-07-01 18:00:00,260.946698108843
electricity,X1,chp,2005-07-01 19:00:00,260.946698108843
electricity,X1,chp,2005-07-01 20:00:00,260.946698108843
electricity,X1,chp,2005-07-01 21:00:00,229.887518840388
electricity,X1,chp,2005-07-01 22:00:00,157.964461136102
electricity,X1,chp,2005-07-01 23:00:00,116.377751297184
electricity,X1,chp,2005-07-02 00:00:00,124.277424796918
electricity,X1,chp,2005-07-02 01:00:00,107.203472130449
electricity,X1,chp,2005-07-02 02:00:00,105.61403411949
electricity,X1,chp,2005-07-02 03:00:00,107.980132067531
electricity,X1,chp,2005-07-02 04:00:00,112.337943185918
electricity,X1,chp,2005-07-02 05:00:00,168.018018910306
electricity,X1,chp,2005-07-02 06:00:00,214.324252487082
electricity,X1,chp,2005-07-02 07:00:00,248.765251711
electricity,X1,chp,2005-07-02 08:00:00,239.128832166703
electricity,X1,chp,2005-07-02 09:00:00,229.190139270172
electricity,X1,chp,2005-07-02 10:00:00,215.333161921792
electricity,X1,chp,2005-07-02 11:00:00,175.720777464192
electricity,X1,chp,2005-07-02 12:00:00,159.818089552565
electricity,X1,chp,2005-07-02 13:00:00,159.263633897151
electricity,X1,chp,2005-07-02 14:00:00,184.001048467479
electricity,X1,chp,2005-07-02 15:00:00,217.658758704104
electricity,X1,chp,2005-07-02 16:00:00,194.091276255395
electricity,X1,chp,2005-07-02 17:00:00,260.946698108843
electricity,X1,chp,2005-07-02 18:00:00,260.946698108843
electricity,X1,chp,2005-07-02 19:00:00,260.946698108843
electricity,X1,chp,2005-07-02 20:00:00,260.946698108843
