costs,locs,techs,cost
monetary,N1,heat_pipes:X1,0.056536259265102
monetary,N1,heat_pipes:X2,0.0516788956020489
monetary,N1,heat_pipes:X3,0.120885928055007
monetary,X1,chp,154.998800688386
monetary,X1,heat_pipes:N1,0.056536259265102
monetary,X1,power_lines:X2,0.00828559589403181
monetary,X1,power_lines:X3,0.000690864523882727
monetary,X1,pv,0.0
monetary,X1,supply_gas,569.159884874549
monetary,X1,supply_grid_power,14.7358897376758
monetary,X2,boiler,11.7131166906838
monetary,X2,heat_pipes:N1,0.0516788956020489
monetary,X2,power_lines:X1,0.00828559589403181
monetary,X2,pv,30.5980981675933
monetary,X2,supply_gas,41.98755177567
monetary,X3,boiler,0.00249641665563059
monetary,X3,heat_pipes:N1,0.120885928055007
monetary,X3,power_lines:X1,0.000690864523882727
monetary,X3,pv,18.6923006730214
monetary,X3,supply_gas,0.0110228436546409
